[ 2025-09-05 21:11:24,773 ] 1025 httpx - INFO - HTTP Request: POST https://dagshub.com/login/oauth/middleman "HTTP/1.1 200 OK"
[ 2025-09-05 21:11:25,164 ] 1025 httpx - INFO - HTTP Request: POST https://dagshub.com/login/oauth/access_token "HTTP/1.1 200 OK"
[ 2025-09-05 21:11:25,806 ] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[ 2025-09-05 21:11:25,812 ] 107 dagshub - INFO - Accessing as yashwanth0098
[ 2025-09-05 21:11:26,260 ] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/repos/yashwanth0098/Network_Security "HTTP/1.1 200 OK"
[ 2025-09-05 21:11:26,639 ] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[ 2025-09-05 21:11:26,639 ] 107 dagshub - INFO - Initialized MLflow to track repo "yashwanth0098/Network_Security"
[ 2025-09-05 21:11:26,639 ] 107 dagshub - INFO - Repository yashwanth0098/Network_Security initialized!
[ 2025-09-05 21:11:26,639 ] 17 root - INFO - Intiate the data ingestion
[ 2025-09-05 21:11:38,456 ] 67 root - INFO - performed train test split on the dataframe
[ 2025-09-05 21:11:38,456 ] 69 root - INFO - Exited split_data_as_train_test method of Data_ingestion class
[ 2025-09-05 21:11:38,456 ] 78 root - INFO - Exporting train and test file path.
[ 2025-09-05 21:11:38,487 ] 84 root - INFO - Exported train and test file path.
[ 2025-09-05 21:11:38,487 ] 20 root - INFO - Data Ingestion Completed
[ 2025-09-05 21:11:38,498 ] 24 root - INFO - Intiate the data validation
[ 2025-09-05 21:11:38,513 ] 32 root - INFO - Required number of columns: 2
[ 2025-09-05 21:11:38,513 ] 33 root - INFO - Data frame has columns: 31
[ 2025-09-05 21:11:38,513 ] 84 root - ERROR - Train dataframe does not contain all columns.

[ 2025-09-05 21:11:38,513 ] 32 root - INFO - Required number of columns: 2
[ 2025-09-05 21:11:38,513 ] 33 root - INFO - Data frame has columns: 31
[ 2025-09-05 21:11:38,513 ] 88 root - ERROR - Test dataframe does not contain all columns.

[ 2025-09-05 21:11:38,613 ] 26 root - INFO - Data Validation Completed
[ 2025-09-05 21:11:38,613 ] 31 root - INFO - Intiate the data transformation
[ 2025-09-05 21:11:38,613 ] 62 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-09-05 21:11:38,613 ] 65 root - INFO - Starting data transformation
[ 2025-09-05 21:11:38,634 ] 48 root - INFO - Entered get_data_transformer_object method of DataTransformation class
[ 2025-09-05 21:11:38,634 ] 52 root - INFO - Imputer object created with parameters: {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-09-05 21:11:38,639 ] 55 root - INFO - Entered the save_object method of MainUtils class
[ 2025-09-05 21:11:38,688 ] 64 root - INFO - Exited the save_object method of MainUtils class
[ 2025-09-05 21:11:38,688 ] 55 root - INFO - Entered the save_object method of MainUtils class
[ 2025-09-05 21:11:38,690 ] 64 root - INFO - Exited the save_object method of MainUtils class
[ 2025-09-05 21:11:38,691 ] 34 root - INFO - Data Transformation Completed
[ 2025-09-05 21:11:38,691 ] 36 root - INFO - Model Training Started
[ 2025-09-05 21:13:04,733 ] 55 root - INFO - Entered the save_object method of MainUtils class
[ 2025-09-05 21:13:04,749 ] 64 root - INFO - Exited the save_object method of MainUtils class
[ 2025-09-05 21:13:04,749 ] 55 root - INFO - Entered the save_object method of MainUtils class
[ 2025-09-05 21:13:04,752 ] 64 root - INFO - Exited the save_object method of MainUtils class
[ 2025-09-05 21:13:04,752 ] 129 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\09_05_2025_21_10_51\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9914028522302012, precision_score=0.9909017387788112, recall_score=0.9919044727787897), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.973920130399348, precision_score=0.9652665589660743, recall_score=0.9827302631578947))
[ 2025-09-05 21:13:04,753 ] 41 root - INFO - Model Training Artifact created 
