[ 2025-09-05 16:26:58,827 ] 17 root - INFO - Intiate the data ingestion
[ 2025-09-05 16:27:10,053 ] 67 root - INFO - performed train test split on the dataframe
[ 2025-09-05 16:27:10,053 ] 69 root - INFO - Exited split_data_as_train_test method of Data_ingestion class
[ 2025-09-05 16:27:10,053 ] 78 root - INFO - Exporting train and test file path.
[ 2025-09-05 16:27:10,088 ] 84 root - INFO - Exported train and test file path.
[ 2025-09-05 16:27:10,088 ] 20 root - INFO - Data Ingestion Completed
[ 2025-09-05 16:27:10,101 ] 24 root - INFO - Intiate the data validation
[ 2025-09-05 16:27:10,118 ] 32 root - INFO - Required number of columns: 2
[ 2025-09-05 16:27:10,119 ] 33 root - INFO - Data frame has columns: 31
[ 2025-09-05 16:27:10,119 ] 84 root - ERROR - Train dataframe does not contain all columns.

[ 2025-09-05 16:27:10,119 ] 32 root - INFO - Required number of columns: 2
[ 2025-09-05 16:27:10,119 ] 33 root - INFO - Data frame has columns: 31
[ 2025-09-05 16:27:10,119 ] 88 root - ERROR - Test dataframe does not contain all columns.

[ 2025-09-05 16:27:10,200 ] 26 root - INFO - Data Validation Completed
[ 2025-09-05 16:27:10,200 ] 31 root - INFO - Intiate the data transformation
[ 2025-09-05 16:27:10,200 ] 62 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-09-05 16:27:10,200 ] 65 root - INFO - Starting data transformation
[ 2025-09-05 16:27:10,227 ] 48 root - INFO - Entered get_data_transformer_object method of DataTransformation class
[ 2025-09-05 16:27:10,227 ] 52 root - INFO - Imputer object created with parameters: {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-09-05 16:27:10,238 ] 50 root - INFO - Entered the save_object method of Mainutils class
[ 2025-09-05 16:27:10,240 ] 54 root - INFO - Exited the save_object method of  Mainutils
[ 2025-09-05 16:27:10,240 ] 50 root - INFO - Entered the save_object method of Mainutils class
[ 2025-09-05 16:27:10,241 ] 54 root - INFO - Exited the save_object method of  Mainutils
[ 2025-09-05 16:27:10,241 ] 34 root - INFO - Data Transformation Completed
[ 2025-09-05 16:27:10,241 ] 36 root - INFO - Model Training Started
